tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0192528,movie,Heaven & Hell,Reverse Heaven,0,2018,\N,104,Drama
tt0195933,movie,Mysteries,Mysteries,0,2019,\N,\N,\N
tt0210470,movie,50 Feet of String,50 Feet of String,0,2011,\N,53,"Fantasy,Mystery"
tt0228933,movie,That's Sexploitation!,That's Sexploitation!,0,2013,\N,136,Documentary
tt0230212,movie,The Final Journey,The Final Journey,0,2010,\N,120,Drama
tt0244136,movie,Phoenix Tapes,Phoenix Tapes,0,2014,\N,45,Documentary
tt0247643,movie,Los pájaros se van con la muerte,Los pájaros se van con la muerte,0,2011,\N,110,"Drama,Mystery"
tt0249516,movie,Foodfight!,Foodfight!,0,2011,\N,91,"Action,Adventure,Animation"
tt0255820,movie,Return to Babylon,Return to Babylon,0,2013,\N,75,"Biography,Comedy,Drama"
tt0276132,movie,The Fetishist,The Fetishist,0,2019,\N,\N,Animation
tt0276568,movie,To Chase a Million,To Chase a Million,0,2018,\N,97,"Action,Drama"
tt0279481,movie,Travel Daze,Travel Daze,0,2019,\N,\N,\N
tt0282252,movie,Voulez-vous coucher avec God?,Voulez-vous coucher avec God?,0,2011,\N,69,\N
tt0283440,movie,Short Time Heroes,Kurzzeithelden,0,2015,\N,45,Sci-Fi
tt0285252,movie,Bachelor Trip,Life's a Beach,0,2012,\N,100,Comedy
tt0293069,movie,Dark Blood,Dark Blood,0,2012,\N,86,Thriller
tt0293513,movie,"Pit Bull: A Tale of Lust, Murder and Revenge",Pit Bull,0,2020,\N,\N,\N
tt0297400,movie,Snowblind,Snowblind,0,2015,\N,\N,"Crime,Drama"
tt0304681,movie,The Secret Safari,The Secret Safari,0,2013,\N,\N,Documentary
tt0306058,movie,Second Coming,Second Coming,0,2012,\N,95,\N
tt0308078,movie,Les bâtisseurs,Les bâtisseurs,0,2016,\N,48,Documentary
tt0311448,movie,Lives No Longer Ours,Lives No Longer Ours,0,2011,\N,90,"Drama,Romance"
tt0312305,movie,Quantum Quest: A Cassini Space Odyssey,Quantum Quest: A Cassini Space Odyssey,0,2010,\N,45,"Adventure,Animation,Sci-Fi"
tt0315642,movie,Wazir,Wazir,0,2016,\N,103,"Action,Crime,Drama"
tt0323808,movie,The Wicker Tree,The Wicker Tree,0,2011,\N,96,"Drama,Horror"
tt0326592,movie,The Overnight,The Overnight,0,2010,\N,88,\N
tt0326965,movie,In My Sleep,In My Sleep,0,2010,\N,104,"Drama,Mystery,Thriller"
tt0328810,movie,My Land,Aamaar Bhuvan,0,2018,\N,102,"Drama,Family"
tt0329539,movie,Rice Girl,Rice Girl,0,2014,\N,95,"Adventure,Comedy,Family"
tt0330811,movie,Regret Not Speaking,Regret Not Speaking,0,2011,\N,\N,\N
tt0330987,movie,"Tiden är en dröm, del 2","Tiden är en dröm, del 2",0,2014,\N,109,"Documentary,History"
tt0331312,movie,This Wretched Life,This Wretched Life,0,2010,\N,99,"Comedy,Drama"
tt0331314,movie,Bunyan and Babe,Bunyan and Babe,0,2017,\N,84,"Adventure,Animation,Comedy"
tt0337692,movie,On the Road,On the Road,0,2012,\N,124,"Adventure,Drama,Romance"
tt0337882,movie,Blind Sided,Blind Sided,0,2010,\N,\N,"Comedy,Crime,Drama"
tt0337926,movie,Chatô - The King of Brazil,Chatô: O Rei do Brasil,0,2015,\N,102,"Biography,Drama"
tt0338258,movie,Instruments of Darkness,Instruments of Darkness,0,2014,\N,\N,"Action,Drama,Fantasy"
tt0339736,movie,The Evil Within,The Evil Within,0,2017,\N,98,Horror
tt0346045,movie,Transeúntes,Transeúntes,0,2015,\N,101,"Comedy,Drama"
tt0359950,movie,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,0,2013,\N,114,"Adventure,Comedy,Drama"
tt0360556,movie,Fahrenheit 451,Fahrenheit 451,0,2018,\N,100,"Drama,Sci-Fi,Thriller"
tt0364201,movie,Aman Ke Farishtey,Aman Ke Farishtey,0,2016,\N,137,Action
tt0365545,movie,Nappily Ever After,Nappily Ever After,0,2018,\N,98,"Comedy,Drama,Romance"
tt0365907,movie,A Walk Among the Tombstones,A Walk Among the Tombstones,0,2014,\N,114,"Action,Crime,Drama"
tt0368133,movie,The Promise of Perfume,The Promise of Perfume,0,2020,\N,57,Documentary
tt0369610,movie,Jurassic World,Jurassic World,0,2015,\N,124,"Action,Adventure,Sci-Fi"
tt0372538,movie,Spy,Spy,0,2011,\N,110,"Action,Crime,Drama"
tt0374682,movie,"Gombrowicz, l'Argentine et moi","Gombrowicz, l'Argentine et moi",0,2019,\N,84,Documentary
tt0376136,movie,The Rum Diary,The Rum Diary,0,2011,\N,119,"Comedy,Drama"
tt0376479,movie,American Pastoral,American Pastoral,0,2016,\N,108,"Crime,Drama"
tt0377981,movie,Gnomeo & Juliet,Gnomeo & Juliet,0,2011,\N,84,"Adventure,Animation,Comedy"
tt0378546,movie,The Payback Man,The Payback Man,0,2010,\N,\N,"Crime,Drama,Thriller"
tt0383010,movie,The Three Stooges,The Three Stooges,0,2012,\N,92,"Comedy,Family"
tt0383477,movie,Love & Orgasms,Love & Orgasms,0,2020,\N,82,Drama
tt0385887,movie,Motherless Brooklyn,Motherless Brooklyn,0,2019,\N,144,"Crime,Drama,Mystery"
tt0387112,movie,Chelsea Girls with Andy Warhol,Chelsea Girls with Andy Warhol,0,2011,\N,88,Documentary
tt0393049,movie,Anderson's Cross,Anderson's Cross,0,2010,\N,98,"Comedy,Drama,Romance"
tt0396123,movie,Den milde smerte,Den milde smerte,0,2010,\N,280,Drama
tt0398286,movie,Tangled,Tangled,0,2010,\N,100,"Adventure,Animation,Comedy"
tt0400320,movie,The Connecticut Kid,The Connecticut Kid,0,2011,\N,87,Adventure
tt0401729,movie,John Carter,John Carter,0,2012,\N,132,"Action,Adventure,Sci-Fi"
tt0402887,movie,Capture the Flag,Capture the Flag,0,2010,\N,\N,Drama
tt0403645,movie,Burnt by the Sun 2,Utomlennye solntsem 2,0,2010,\N,181,"Drama,History,War"
tt0403935,movie,Action Jackson,Action Jackson,0,2014,\N,144,"Action,Crime,Thriller"
tt0404978,movie,Gambit,Gambit,0,2012,\N,89,"Comedy,Crime"
tt0406282,movie,Bubbles,Bubbles,0,2011,\N,80,Drama
tt0407194,movie,Seven Fallen Objects,Seven Fallen Objects,0,2011,\N,90,"Comedy,Drama"
tt0409379,movie,In Secret,In Secret,0,2013,\N,107,"Crime,Drama,Thriller"
tt0409847,movie,Cowboys & Aliens,Cowboys & Aliens,0,2011,\N,119,"Action,Sci-Fi,Thriller"
tt0411951,movie,Tekken,Tekken,0,2010,\N,87,"Action,Crime,Drama"
tt0417610,movie,Asleep in the Sun,Dormir al sol,0,2010,\N,83,Fantasy
tt0417750,movie,Hempsters: Plant the Seed,Hempsters: Plant the Seed,0,2010,\N,90,Documentary
tt0419692,movie,Disconnect,Disconnect,0,2010,\N,112,"Drama,Mystery,Sci-Fi"
tt0420293,movie,The Stanford Prison Experiment,The Stanford Prison Experiment,0,2015,\N,122,"Biography,Drama,History"
tt0423474,movie,Venus & Vegas,Venus & Vegas,0,2010,\N,95,"Action,Comedy,Crime"
tt0424859,movie,The Ninth Cloud,The Ninth Cloud,0,2014,\N,93,Drama
tt0425785,movie,El borde del tiempo,El borde del tiempo,0,2011,\N,100,Drama
tt0426410,movie,Beisbol,Beisbol,0,2010,\N,\N,Documentary
tt0426566,movie,Pots and Pans,Acorralados,0,2012,\N,80,"Comedy,Drama,Thriller"
tt0427152,movie,Dinner for Schmucks,Dinner for Schmucks,0,2010,\N,114,Comedy
tt0427543,movie,A Million Little Pieces,A Million Little Pieces,0,2018,\N,113,Drama
tt0429493,movie,The A-Team,The A-Team,0,2010,\N,117,"Action,Adventure,Thriller"
tt0430524,movie,The Rescuer,The Rescuer,0,2011,\N,84,Documentary
tt0431021,movie,The Possession,The Possession,0,2012,\N,92,"Horror,Mystery,Thriller"
tt0432010,movie,The Queen of Sheba Meets the Atom Man,The Queen of Sheba Meets the Atom Man,0,2018,\N,110,Comedy
tt0433035,movie,Real Steel,Real Steel,0,2011,\N,127,"Action,Drama,Sci-Fi"
tt0433397,movie,Satin,Satin,0,2011,\N,84,"Comedy,Drama,Music"
tt0433533,movie,Caleuche: El llamado del Mar,Caleuche: El llamado del Mar,0,2012,\N,100,"Drama,Fantasy,Horror"
tt0433787,movie,L'apocalisse delle scimmie,L'apocalisse delle scimmie,0,2012,\N,\N,"Drama,Horror"
tt0435651,movie,The Giver,The Giver,0,2014,\N,97,"Drama,Romance,Sci-Fi"
tt0435761,movie,Toy Story 3,Toy Story 3,0,2010,\N,103,"Adventure,Animation,Comedy"
tt0436230,movie,Mexican Devil,The Devil Inside,0,2010,\N,\N,"Horror,Thriller"
tt0436782,movie,A Life in the Death of Joe Meek,A Life in the Death of Joe Meek,0,2013,\N,122,Documentary
tt0437086,movie,Alita: Battle Angel,Alita: Battle Angel,0,2019,\N,122,"Action,Adventure,Sci-Fi"
tt0437462,movie,"Cargo, les hommes perdus.","Cargo, les hommes perdus.",0,2010,\N,93,"Adventure,Romance"
tt0439724,movie,Moving Target,Moving Target,0,2011,\N,\N,"Drama,Thriller"
tt0439801,movie,Segurança Nacional,Segurança Nacional,0,2010,\N,86,Action
tt0441506,movie,Stolen Memories,Stolen Memories,0,2012,\N,\N,Documentary
tt0441779,movie,My Nappy Roots: A Journey Through Black Hair-itage,My Nappy Roots: A Journey Through Black Hair-itage,0,2010,\N,90,Documentary
tt0441881,movie,Danger Close,Danger Close: The Battle of Long Tan,0,2019,\N,118,"Action,Drama,War"
tt0443272,movie,Lincoln,Lincoln,0,2012,\N,150,"Biography,Drama,History"
tt0443331,movie,Milenge Milenge,Milenge Milenge,0,2010,\N,109,"Drama,Romance"
tt0443465,movie,Before We Go,Before We Go,0,2014,\N,95,"Comedy,Drama,Romance"
tt0443533,movie,The History of Love,The History of Love,0,2016,\N,134,"Drama,Romance,War"
tt0444531,movie,Vidas pequeñas,Vidas pequeñas,0,2010,\N,115,Drama
tt0445054,movie,7 Days,Les 7 jours du talion,0,2010,\N,105,"Crime,Drama,Horror"
tt0446029,movie,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,0,2010,\N,112,"Action,Comedy,Fantasy"
tt0446686,movie,Dream Street,Dream Street,0,2010,\N,\N,Drama
tt0446792,movie,Surviving in L.A.,Surviving in L.A.,0,2020,\N,\N,"Comedy,Drama,Romance"
tt0448022,movie,A Bird of the Air,A Bird of the Air,0,2011,\N,108,"Drama,Romance"
tt0448115,movie,Shazam!,Shazam!,0,2019,\N,132,"Action,Adventure,Comedy"
tt0448694,movie,Puss in Boots,Puss in Boots,0,2011,\N,90,"Adventure,Animation,Comedy"
tt0449005,movie,Diary of a Bad Lad,Diary of a Bad Lad,0,2010,\N,92,"Comedy,Crime"
tt0451108,movie,Mad World,Mad World,0,2010,\N,98,Drama
tt0451154,movie,The Passing,The Passing,0,2011,\N,92,Horror
tt0451201,movie,Clawed,Sludge,0,2017,\N,95,Horror
tt0451279,movie,Wonder Woman,Wonder Woman,0,2017,\N,141,"Action,Adventure,Fantasy"
tt0452183,movie,Blunt Movie,Blunt Movie,0,2013,\N,83,"Comedy,Romance"
tt0452664,movie,Party Crashers,Os Penetras,0,2012,\N,88,Comedy
tt0453562,movie,42,42,0,2013,\N,128,"Biography,Drama,Sport"
tt0454155,movie,El hada buena - Una fábula peronista,El hada buena - Una fábula peronista,0,2010,\N,85,"Comedy,Drama,Sci-Fi"
tt0454876,movie,Life of Pi,Life of Pi,0,2012,\N,127,"Adventure,Drama,Fantasy"
tt0455323,movie,Being Flynn,Being Flynn,0,2012,\N,102,Drama
tt0455407,movie,The Crazies,The Crazies,0,2010,\N,101,"Horror,Mystery,Thriller"
tt0455944,movie,The Equalizer,The Equalizer,0,2014,\N,132,"Action,Crime,Thriller"
tt0457591,movie,Memorias del desarrollo,Memorias del desarrollo,0,2010,\N,113,Drama
tt0458339,movie,Captain America: The First Avenger,Captain America: The First Avenger,0,2011,\N,124,"Action,Adventure,Sci-Fi"
tt0458413,movie,A Long Way Down,A Long Way Down,0,2014,\N,96,"Comedy,Drama"
tt0458481,movie,Frank Miller's Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,0,2014,\N,102,"Action,Crime,Thriller"
tt0459748,movie,Generation P,Generation P,0,2011,\N,112,"Comedy,Drama,Sci-Fi"
tt0460528,movie,One Step Beyond: The True Story of Géraldine Fasnacht,One Step Beyond,0,2012,\N,56,Documentary
tt0460778,movie,Drunkboat,Drunkboat,0,2010,\N,98,Drama
tt0460809,movie,The Grasslands,The Grasslands,0,2011,\N,114,Drama
tt0460890,movie,The Only Living Boy in New York,The Only Living Boy in New York,0,2017,\N,89,Drama
tt0460957,movie,Texxas Jam '78,Texxas Jam '78,0,2012,\N,60,Documentary
tt0461336,movie,Saving Private Perez,Salvando al Soldado Pérez,0,2011,\N,105,"Adventure,Comedy,Western"
tt0462036,movie,Steve Phoenix: The Untold Story,Steve Phoenix: The Untold Story,0,2012,\N,110,Drama
tt0462335,movie,High-Rise,High-Rise,0,2015,\N,119,"Drama,Sci-Fi"
tt0462516,movie,Satan Hates You,Satan Hates You,0,2010,\N,94,Horror
tt0462536,movie,Silent Alarm,Silent Alarm,0,2011,\N,82,"Comedy,Drama,Thriller"
tt0463311,movie,Federal,Federal,0,2010,\N,91,"Drama,Thriller"
tt0463960,movie,The Devil You Know,The Devil You Know,0,2013,\N,76,"Mystery,Thriller"
tt0464032,movie,"Guns, Drugs and Dirty Money","Guns, Drugs and Dirty Money",0,2010,\N,123,"Action,Comedy,Crime"
tt0464054,movie,House at the End of the Drive,House at the End of the Drive,0,2014,\N,91,"Horror,Thriller"
tt0464154,movie,Piranha 3D,Piranha 3D,0,2010,\N,88,"Comedy,Fantasy,Horror"
tt0464162,movie,Komaram Puli,Komaram Puli,0,2010,\N,163,"Action,Crime,Thriller"
tt0464891,movie,Act Your Age,Act Your Age,0,2011,\N,101,"Comedy,Drama"
tt0465637,movie,Taken by Force,Taken by Force,0,2010,\N,90,"Action,Drama"
tt0465760,movie,Sensual,Sensual,0,2010,\N,99,Drama
tt0466553,movie,Golapi Ekhon Bilatey,Golapi Ekhon Bilatey,0,2010,\N,\N,Musical
tt0466893,movie,Margaret,Margaret,0,2011,\N,150,Drama
tt0469021,movie,Alan Partridge,Alan Partridge: Alpha Papa,0,2013,\N,90,"Action,Comedy,Crime"
tt0469094,movie,Harlem Hostel,Harlem Hostel,0,2010,\N,81,"Comedy,Drama"
tt0469152,movie,Smoking Nonsmoking,Smoking Nonsmoking,0,2011,\N,84,Drama
tt0469158,movie,Platinum Illusions,Platinum Illusions,0,2011,\N,\N,"Action,Drama"
tt0470752,movie,Ex Machina,Ex Machina,0,2014,\N,108,"Drama,Sci-Fi,Thriller"
tt0470936,movie,"Hot Country, Cold Winter","Tak erkir, tsurt dzmer",0,2016,\N,104,Drama
tt0471042,movie,Tower Heist,Tower Heist,0,2011,\N,104,"Action,Comedy,Crime"
tt0472181,movie,The Smurfs,The Smurfs,0,2011,\N,103,"Adventure,Animation,Comedy"
tt0472399,movie,The Mechanic,The Mechanic,0,2011,\N,93,"Action,Crime,Thriller"
tt0473075,movie,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,0,2010,\N,116,"Action,Adventure,Fantasy"
tt0473088,movie,Stan,Stan,0,2011,\N,\N,Comedy
tt0473122,movie,Bamboo Shark,Bamboo Shark,0,2011,\N,\N,Comedy
tt0473343,movie,Cielito lindo,Cielito lindo,0,2010,\N,91,"Drama,Thriller"
tt0475239,movie,Clutch,Clutch,0,2012,\N,\N,"Action,Drama"
tt0475290,movie,"Hail, Caesar!","Hail, Caesar!",0,2016,\N,106,"Comedy,Drama,Music"
tt0475360,movie,Persona Au Gratin,Persona Au Gratin,0,2012,\N,93,Comedy
tt0475983,movie,The Deafening Silence of a Very Bright Light,The Deafening Silence of a Very Bright Light,0,2010,\N,92,Drama
tt0476023,movie,Stiffs,Stiffs,0,2010,\N,104,Comedy
tt0477080,movie,Unstoppable,Unstoppable,0,2010,\N,98,"Action,Thriller"
tt0477087,movie,Sid Bernstein Presents...,Sid Bernstein Presents...,0,2010,\N,100,Documentary
tt0477302,movie,Extremely Loud & Incredibly Close,Extremely Loud & Incredibly Close,0,2011,\N,129,"Adventure,Drama,Mystery"
tt0477894,movie,La tragica fine di Caligula imperator,La tragica fine di Caligula imperator,0,2017,\N,65,Drama
tt0478304,movie,The Tree of Life,The Tree of Life,0,2011,\N,139,"Drama,Fantasy"
tt0478660,movie,El horror de la dama del lago,El horror de la dama del lago,0,2010,\N,90,"Fantasy,Horror,Thriller"
tt0478970,movie,Ant-Man,Ant-Man,0,2015,\N,117,"Action,Adventure,Comedy"
tt0479051,movie,The Greater Meaning of Water,The Greater Meaning of Water,0,2010,\N,60,"Drama,Sport"
tt0479204,movie,Perfect Life,Perfect Life,0,2010,\N,98,"Horror,Thriller"
tt0479700,movie,Without Warrant,Without Warrant,0,2013,\N,90,"Action,Crime,Drama"
tt0479807,movie,Abhishapt,Abhishapt,0,2011,\N,\N,Drama
tt0479997,movie,Season of the Witch,Season of the Witch,0,2011,\N,95,"Action,Adventure,Fantasy"
tt0480239,movie,Atlas Shrugged: Part I,Atlas Shrugged: Part I,0,2011,\N,97,"Drama,Mystery,Sci-Fi"
tt0480255,movie,The Losers,The Losers,0,2010,\N,97,"Action,Adventure,Crime"
tt0480687,movie,Hall Pass,Hall Pass,0,2011,\N,105,"Comedy,Romance"
tt0481470,movie,Felix Austria!,Felix Austria!,0,2013,\N,77,"Biography,Documentary,History"
tt0481499,movie,The Croods,The Croods,0,2013,\N,98,"Adventure,Animation,Comedy"
tt0482459,movie,Bandage,Bandeiji,0,2010,\N,119,"Drama,Music,Romance"
tt0482461,movie,Barry Munday,Barry Munday,0,2010,\N,95,"Comedy,Drama,Romance"
tt0483586,movie,Chasing 3000,Chasing 3000,0,2010,\N,115,"Family,Sport"
tt0483740,movie,Monkey Man,Monkey Man,0,2011,\N,\N,Comedy
tt0483839,movie,A Woman Is a Woman,A Woman Is a Woman,0,2010,\N,102,"Comedy,Drama"
tt0484037,movie,Gente mala del norte,Gente mala del norte,0,2011,\N,97,"Drama,History"
tt0484828,movie,La daga de Rasputín,La daga de Rasputín,0,2011,\N,99,"Adventure,Comedy"
tt0485061,movie,U Want Me 2 Kill Him?,uwantme2killhim?,0,2013,\N,92,"Drama,Thriller"
tt0485521,movie,Sushi in Suhl,Sushi in Suhl,0,2012,\N,100,"Comedy,Drama"
tt0485535,movie,Dil Ka Sauda,Dil Ka Sauda,0,2014,\N,136,"Action,Crime,Drama"
tt0485985,movie,Red Tails,Red Tails,0,2012,\N,125,"Action,Drama,History"
tt0486622,movie,Making Change,Making Change,0,2012,\N,94,Drama
tt0490075,movie,Aftermath,Aftermath,0,2013,\N,84,"Comedy,Crime,Thriller"
tt0490199,movie,PrimeMates,PrimeMates,0,2010,\N,82,"Comedy,Drama"
tt0490215,movie,Silence,Silence,0,2016,\N,161,"Drama,History"
tt0490236,movie,The Invited,The Invited,0,2010,\N,95,"Horror,Thriller"
tt0490847,movie,Double Tap,Double Tap,0,2011,\N,100,"Action,Crime,Drama"
tt0491152,movie,Something Borrowed,Something Borrowed,0,2011,\N,112,"Comedy,Drama,Romance"
tt0491175,movie,Suburbicon,Suburbicon,0,2017,\N,105,"Comedy,Crime,Drama"
tt0491203,movie,Tulip Fever,Tulip Fever,0,2017,\N,105,"Drama,History,Romance"
tt0492389,movie,Furry Vengeance,Furry Vengeance,0,2010,\N,92,"Comedy,Family"
tt0493076,movie,Nina,Nina,0,2016,\N,90,"Biography,Drama,Music"
tt0493405,movie,CHIPS,CHIPS,0,2017,\N,100,"Action,Comedy,Crime"
tt0493949,movie,Ramona and Beezus,Ramona and Beezus,0,2010,\N,104,"Comedy,Drama,Family"
tt0494229,movie,Good Sharma,Good Sharma,0,2010,\N,100,Drama
tt0495024,movie,Bad Blood,Bad Blood,0,2012,\N,107,"Horror,Mystery,Romance"
tt0495037,movie,O Inimigo Sem Rosto,O Inimigo Sem Rosto,0,2010,\N,85,"Crime,Drama"
tt0496375,movie,Prisoners of the Sun,Prisoners of the Sun,0,2013,\N,85,"Action,Adventure,Horror"
tt0498351,movie,The Hero of Color City,The Hero of Color City,0,2014,\N,77,"Adventure,Animation,Family"
tt0498381,movie,Rings,Rings,0,2017,\N,102,"Drama,Horror,Mystery"
tt0499608,movie,Tranced,Tranced,0,2010,\N,\N,"Drama,Fantasy,Romance"
tt0756727,movie,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),0,2010,\N,116,"Biography,Documentary,Music"
tt0758752,movie,Love & Other Drugs,Love & Other Drugs,0,2010,\N,112,"Comedy,Drama,Romance"
tt0762138,movie,Syrup,Syrup,0,2013,\N,90,"Comedy,Drama,Romance"
tt0763831,movie,A Thousand Words,A Thousand Words,0,2012,\N,91,"Comedy,Drama"
tt0765446,movie,Escape from Planet Earth,Escape from Planet Earth,0,2012,\N,89,"Adventure,Animation,Comedy"
tt0765453,movie,Have You Seen Me?,Have You Seen Me?,0,2016,\N,\N,Comedy
tt0765465,movie,The Legend of Secret Pass,The Legend of Secret Pass,0,2010,\N,92,"Animation,Family,Fantasy"
tt0765485,movie,Waste of Space,Waste of Space,0,2010,\N,78,"Adventure,Comedy,Sci-Fi"
tt0768187,movie,Me and My Umbrella,Eu e Meu Guarda-Chuva,0,2010,\N,78,"Adventure,Family,Fantasy"
tt0768222,movie,Night of the Templar,Night of the Templar,0,2013,\N,101,"Horror,Mystery"
tt0770703,movie,What's Your Number?,What's Your Number?,0,2011,\N,106,"Comedy,Romance"
tt0770728,movie,California Indian,California Indian,0,2011,\N,90,Drama
tt0770778,movie,King of the Avenue,King of the Avenue,0,2010,\N,83,"Drama,Fantasy,Thriller"
tt0770802,movie,Samsara,Samsara,0,2011,\N,102,"Documentary,Music"
tt0770819,movie,She's Out of His Mind,Till You Get to Baraboo,0,2011,\N,80,"Comedy,Romance"
tt0770828,movie,Man of Steel,Man of Steel,0,2013,\N,143,"Action,Adventure,Sci-Fi"
tt0772175,movie,Jersey Justice,Jersey Justice,0,2014,\N,100,"Action,Thriller"
tt0772179,movie,Kill,Kill,0,2011,\N,90,"Comedy,Horror,Thriller"
tt0774519,movie,The Chosen Heaven,El cielo elegido,0,2010,\N,123,"Drama,Thriller"
tt0775440,movie,Cell,Cell,0,2016,\N,98,"Action,Adventure,Horror"
tt0775461,movie,The Rain Fairy,Destová víla,0,2010,\N,100,"Family,Fantasy"
tt0775489,movie,The Illusionist,L'illusionniste,0,2010,\N,90,"Animation,Drama,Fantasy"
tt0775543,movie,Night Catches Us,Night Catches Us,0,2010,\N,90,"Drama,Romance"
tt0780504,movie,Drive,Drive,0,2011,\N,100,"Crime,Drama"
tt0780548,movie,Kid Cannabis,Kid Cannabis,0,2014,\N,110,"Biography,Comedy,Crime"
tt0780625,movie,Santorini Blue,Santorini Blue,0,2013,\N,90,"Comedy,Drama"
tt0780645,movie,War of the Dead,War of the Dead,0,2011,\N,86,"Action,Adventure,Horror"
tt0780653,movie,The Wolfman,The Wolfman,0,2010,\N,103,"Drama,Fantasy,Horror"
tt0781441,movie,Escalade,Escalade,0,2011,\N,80,Thriller
tt0782047,movie,Irreversi,Irreversi,0,2010,\N,87,Thriller
tt0783640,movie,The Last Full Measure,The Last Full Measure,0,2019,\N,116,"Drama,War"
tt0787442,movie,The Attack,The Attack,0,2012,\N,102,"Crime,Drama,Mystery"
tt0787474,movie,The Boxtrolls,The Boxtrolls,0,2014,\N,96,"Adventure,Animation,Comedy"
tt0787524,movie,The Man Who Knew Infinity,The Man Who Knew Infinity,0,2015,\N,108,"Biography,Drama"
tt0790628,movie,The Incredible Burt Wonderstone,The Incredible Burt Wonderstone,0,2013,\N,100,Comedy
tt0790636,movie,Dallas Buyers Club,Dallas Buyers Club,0,2013,\N,117,"Biography,Drama"
tt0790653,movie,Elliot Loves,Elliot Loves,0,2012,\N,92,"Comedy,Romance"
tt0790663,movie,The First Grader,The First Grader,0,2010,\N,103,"Biography,Drama,Romance"
tt0790724,movie,Jack Reacher,Jack Reacher,0,2012,\N,130,"Action,Thriller"
tt0790736,movie,R.I.P.D.,R.I.P.D.,0,2013,\N,96,"Action,Adventure,Comedy"
tt0790770,movie,Miles Ahead,Miles Ahead,0,2015,\N,100,"Biography,Drama,Music"
